,PPO,CPPO,PPO-DeepSeek 10%,PPO-DeepSeek 1%,PPO-DeepSeek 0.1%,CPPO-DeepSeek 10%,CPPO-DeepSeek 1%,CPPO-DeepSeek 0.1%,CPPO-DeepSeek Phase1 EP90,CPPO-DeepSeek Phase1 EP100,CPPO-DeepSeek Phase1 EP110,Nasdaq-100
2023-05-08,3265987.646965525,2015921.900963734,1617986.0531878723,1173260.6362842103,1821678.5179720393,1331922.1451633903,1970040.738371206,823093.1118524016,2005219.2014635045,1759936.9793584181,1493616.6476614254,2089594.5685988138
2023-05-09,3325937.690955723,2048540.3507542848,1628049.1972860922,1225945.3201533891,1837558.7829429426,1361109.1324869369,1971572.4231301323,872227.9974206211,2020999.674726545,1770861.2535378316,1510893.082883688,2075362.3495458914
2023-05-10,3327588.423398121,2054173.6222872196,1623778.6245691844,1222483.425517779,1827693.6890062601,1348665.9671804018,1976399.1663930784,867805.3441771187,2027754.1651760323,1773720.7461737317,1504511.1475730136,2098428.333265014
2023-05-11,3319663.9479469946,2050528.041880364,1625115.4316813701,1229027.8345822832,1834959.477031308,1352439.9435667626,1987455.2397391193,869061.466219045,2047616.0565522518,1772467.6801167105,1508156.087743562,2105023.373650943
2023-05-12,3338155.554600362,2063203.5282568596,1634744.176401992,1228286.9045453991,1855283.144430739,1344969.0292693998,1998040.2309904806,858669.6645465557,2046609.7494396353,1769491.0317587636,1520675.3943920357,2097225.6062034555
2023-05-15,3307804.9366528452,2045710.754238392,1629911.8470266028,1211880.4901335852,1845521.870421668,1322667.8541336725,1977201.0814468202,848800.671926346,2005682.381105486,1750426.09976417,1501774.76991366,2108753.9155029734
2023-05-16,3361287.800478143,2081611.307152722,1635321.6596685247,1207740.0245766283,1872314.1316110527,1324748.4955128126,2003794.6800737907,837408.1881904745,2036380.4603440783,1779639.138630288,1534883.812840913,2110719.055455482
2023-05-17,3397494.7236353457,2126124.4316978063,1659242.433969299,1229357.8825402923,1912444.7037163693,1340388.0002531356,2045949.525901707,852164.9940961666,2062226.7761068093,1826640.2333718953,1583328.5384298689,2136383.7832352375
2023-05-18,3372284.1031146185,2106657.1559948665,1660070.4367254968,1237375.6951115928,1901923.8185976408,1350295.6401325876,2042968.896925481,862307.5200351271,2055487.027696084,1826590.128058333,1568967.7832771067,2174957.1776045896
2023-05-19,3401480.0981817497,2122708.455101383,1667440.3383514395,1248923.208225287,1899020.4292844955,1366328.674760262,2044169.1852301748,874196.5543839218,2056143.271645981,1824063.1063436163,1581445.8242267221,2170063.211490051
2023-05-22,3340471.009582129,2076896.4266374907,1650170.7784291347,1229149.4962161665,1868025.715947561,1349788.236227154,2027289.8453235188,855776.5148469957,2031766.0141236766,1795806.4153377058,1552662.508042385,2177334.2293143305
2023-05-23,3321374.135384751,2057843.2177087956,1644502.6781602725,1252659.4236668,1834343.7280917661,1378782.6791055049,2014837.0622920103,880052.6562633298,2025784.7913495563,1805120.4155299482,1543009.6380760882,2149476.3746422636
2023-05-24,3340482.9054321395,2047702.1833097243,1646267.102435651,1203701.177380394,1822824.1310784146,1336938.465986724,2025182.2132471472,822425.5463943454,2021973.1409372287,1808027.3112120272,1537706.3051204917,2138776.6481805337
2023-05-25,3406086.236576557,2109561.6009238097,1669027.6109644794,1229474.2732555168,1878401.1785013196,1348437.7223829401,2084930.220858996,836585.8025753921,2040448.548003993,1849087.4593812248,1579497.7385400115,2191293.017566048
2023-05-26,3390822.7832477973,2098038.929184039,1665846.7425419681,1233380.664798105,1863480.4046046664,1342382.1415841875,2079355.3778411616,832182.4021047306,2080238.5390774326,1857685.0036022493,1578070.453029333,2247870.1644315505
2023-05-30,3372907.3393853144,2086357.9036616064,1658457.745183576,1232605.07138925,1864006.4568201117,1338483.2360124916,2052975.4507526548,837948.8955675312,2068549.682677649,1848521.1991598099,1587787.8131673334,2256765.1861947076
2023-05-31,3418693.0293341856,2123570.3142231246,1671121.639977161,1250444.5244032028,1894080.7247898604,1350586.89816588,2066977.2380960549,848901.4339904347,2105798.4999151584,1866981.6082406815,1613133.1582460243,2240902.5150874387
2023-06-01,3432560.6591664003,2132582.4029094055,1694511.622164167,1277476.5022113333,1916177.430152743,1382779.2506519763,2105415.027220379,875843.0964203409,2107842.818497092,1875977.8217384326,1621651.9883058309,2270367.025197239
2023-06-02,3454475.262951561,2135922.971401527,1694314.2115024887,1285576.0397095839,1904598.1183917203,1391446.6602965991,2101353.0040623085,884487.9252186693,2109422.8285996486,1885030.4695936425,1627808.4851893398,2286894.6198306265
2023-06-05,3425365.7432713504,2122672.4138005883,1701606.4505605355,1263358.995450308,1922131.5265092999,1376893.793875777,2111455.7473102342,861587.0828404078,2107863.1161936154,1879025.4212500798,1633843.4175511745,2288444.7774947262
2023-06-06,3356213.2502000714,2110192.1966572907,1684404.534366851,1256240.8221051905,1896728.1462435748,1375739.41020603,2119202.137264975,859963.5482337738,2116104.9736694344,1872575.3321001413,1615995.8072396587,2288694.7187324357
2023-06-07,3382876.233843132,2128437.9237027625,1703873.4610458664,1260270.8252795849,1909708.140960407,1383858.0020216755,2135505.7128636,864426.4608859612,2137039.444108507,1902700.5002648076,1626244.0036403965,2248637.3366458225
2023-06-08,3375362.2916720123,2128993.8270777613,1698765.4122837672,1248168.770071899,1909811.2933386376,1374615.4494061782,2131017.839936588,856635.4922010223,2120176.8776336513,1916474.0280233398,1631017.6466821814,2277131.86595719
2023-06-09,3431420.451114033,2168089.947003157,1715654.6142481738,1282891.5254181696,1949703.0746560865,1395160.0341834805,2174876.1821120796,885061.9087458723,2141221.2575849076,1944195.004299325,1662661.9561157129,2284020.9097032007
2023-06-12,3411563.0358643522,2171330.157125458,1716345.6238562895,1285419.170666553,1974501.0553378942,1397291.9849369868,2194409.6280481257,881800.2900970251,2173741.37543247,1976512.2912098551,1697100.0263628562,2324257.4572839215
2023-06-13,3423148.261157235,2170390.3698722925,1718992.434020034,1278353.0339474482,1970873.2153660895,1386312.496930901,2193147.174983668,876869.7076439415,2168861.952528595,1978531.8739076832,1699637.6431356133,2342580.3914957955
2023-06-14,3461635.5842041904,2179020.232648793,1726960.034625211,1297464.7568222256,1977726.8997259354,1405050.6421516114,2216164.0376739907,893983.324741703,2184259.6024254835,2005047.116371824,1725091.4602100137,2359062.5422677808
2023-06-15,3426512.431043358,2152877.582244327,1721628.4732018248,1282426.0128879354,1967321.2205702185,1403444.1854096204,2206442.503895847,879783.1841084617,2184131.6994170197,1986275.0333544847,1701078.5817137395,2387327.5493737576
2023-06-16,3403695.797957616,2142941.495163218,1714949.3590880993,1258192.5218898335,1957167.2618779477,1385318.2506856355,2190498.9936051797,866598.088621022,2145007.523293994,1983469.5044468387,1696162.276668711,2371361.0943127465
2023-06-20,3388752.5624367474,2134278.2028851532,1715997.1907738284,1241270.15312261,1945171.8563888224,1380011.3098597543,2188987.487510378,858208.6969402513,2123507.300906026,1965472.3589718756,1671262.844144509,2369196.369833812
2023-06-21,3422986.999585422,2150946.4613720197,1711360.2023592482,1250346.6999653953,1956303.2753178196,1389697.8210479121,2191826.030389261,866954.6217695036,2109485.08071527,1964798.0008708555,1670885.1126498769,2337329.629658629
2023-06-22,3381804.8338850047,2121307.7347307983,1696815.8824474534,1236490.8128678545,1938154.080111206,1382232.165694894,2175927.061509583,863154.8632872025,2087282.540537172,1950232.9008383271,1654618.952429315,2364821.169961423
2023-06-23,3306280.6146160257,2089410.498069792,1701833.2130601506,1207538.2997127627,1932988.921692233,1367784.0169797067,2183075.825709267,832406.2919366166,2088074.413723816,1939563.1205574279,1646679.1862366053,2341107.457690767
2023-06-26,3342933.4463092876,2116613.6955919364,1736301.3220479838,1195588.2126105702,1969739.3561472453,1362500.3048203557,2219091.3368626824,811455.5067923164,2117787.663297285,1968334.7240894448,1678669.002852,2309278.3315224876
2023-06-27,3375270.977045081,2139068.6197561678,1733215.7154888557,1196817.257862591,1961895.2732385274,1371014.7433196416,2232414.026129136,815776.9798165723,2128430.5315084476,1979692.0078017132,1682363.0294276623,2349664.4139714697
2023-06-28,3341470.9128755666,2127585.834970573,1736882.1866391147,1195899.433657441,1974978.2133195095,1377444.832154866,2257603.2824486634,820095.2885077395,2122366.3555654986,1984230.2557479606,1684952.8560286572,2352597.999456823
2023-06-29,3400068.130179408,2164406.0252011367,1739805.343687145,1213441.0728105055,2003346.1406469657,1396098.136316794,2290212.774556653,830899.9626419834,2187514.4057948845,2016374.3737979329,1703360.1728225409,2348727.441383176
2023-06-30,3380344.1265655304,2175625.9057271057,1736655.2887225992,1212365.0999644205,2001825.1825857942,1394931.9731687154,2296650.091299365,833059.8000506553,2196127.113379291,2022918.8042070104,1706885.8429936783,2386341.7553397687
2023-07-03,3425953.395297188,2182262.24263733,1735679.7631112922,1201184.8202356675,1981218.82948153,1388686.5395672924,2276365.016314307,827299.7283426692,2178687.000696338,2024064.6058983493,1702055.420717083,2390976.415096512
2023-07-05,3324979.5375853945,2130254.510713859,1727446.893334408,1177390.755672853,1960829.6936440496,1364863.4816617225,2254199.7388874306,812841.6122737532,2147214.1662833616,1999834.9324949735,1676435.5006349823,2390204.4835589174
2023-07-06,3318249.1858466505,2123861.504251136,1704076.79695482,1182470.802979142,1961438.3328476108,1374511.8121167184,2248418.5325618796,815211.6983276899,2155810.342390177,1998285.2718218954,1680673.2509544648,2372230.515215173
2023-07-07,3271110.0032229475,2128365.8635739097,1729898.8536611437,1199007.3622379326,2001346.472168803,1384203.8549019499,2307331.5459584645,819843.9363070115,2213899.731942935,2027540.3976873006,1710030.4359923385,2363961.1141790836
